sample_id,cluster_id
AR0047-C,cluster_9
AR0049-C,cluster_9
AR0051-C,cluster_9
AR0061-C,cluster_9
AR0078-C,cluster_9
AR0080-C,cluster_9
AR0084-C,cluster_9
AR0097-C,cluster_9
AR0072-C,cluster_9
AR0094-C,cluster_9
AR0095-C,cluster_9
AR0083-C,cluster_9
AR0093-C,cluster_9
AR0021-C,cluster_9
AR0082-C,cluster_9
AR0008-C,cluster_9
AR0085-C,cluster_9
AR0098-C,cluster_9
AR0092-C,cluster_9
AR0017-C,cluster_9
AR0015-C,cluster_9
AR0019-C,cluster_9
AR0100-C,cluster_9
AR0034-C,cluster_9
AR0086-C,cluster_9
AR0057-C,cluster_9
AR0076-C,cluster_9
AR0042-C,cluster_9
AR0063-C,cluster_9
AR0012-C,cluster_9
AR0087-C,cluster_9
AR0065-C,cluster_9
AR0038-C,cluster_9
AR0089-C,cluster_9
AR0071-C,cluster_9
AR0096-C,cluster_9
AR0088-C,cluster_9
AR0066-C,cluster_9
AR0023-C,cluster_9
AR0020-C,cluster_9
AR0024-C,cluster_9
AR0014-C,cluster_9
AR0079-C,cluster_9
AR0027-C,cluster_9
AR0075-C,cluster_9
AR0077-C,cluster_9
AR0007-C,cluster_9
AR0062-C,cluster_9
AR0060-C,cluster_9
AR0022-C,cluster_9
AR0002-C,cluster_9
AR0059-C,cluster_9
AR0048-C,cluster_9
AR0011-C,cluster_9
AR0009-C,cluster_9
AR0043-C,cluster_9
AR0035-C,cluster_9
AR0074-C,cluster_9
AR0045-C,cluster_9
AR0073-C,cluster_9
AR0004-C,cluster_9
AR0040-C,cluster_9
AR0052-C,cluster_9
AR0064-C,cluster_9
AR0044-C,cluster_9
AR0036-C,cluster_9
AR0001-C,cluster_9
AR0006-C,cluster_9
AR0046-C,cluster_9
AR0070-Cx,cluster_9
AR0010-Cx,cluster_9
AR0090-Cx,cluster_9
AR0054-Cx,cluster_9
AR0016-Cx,cluster_9
AR0050-Cx,cluster_9
AR0069-Cx,cluster_9
AR0018-Cx,cluster_9
AR0081-Cx,cluster_9
AR0013-Cx,cluster_9
AR0026-C,cluster_9
AR0053-C,cluster_9
AB0085-Cx,cluster_2
AB0086-Cx,cluster_2
AB0087-C,cluster_2
AB0088-C,cluster_2
AB0089-Cx,cluster_2
AB0090-C,cluster_2
AB0091-C,cluster_2
AB0092-C,cluster_2
AB0094-Cx,cluster_2
AB0095-Cx,cluster_2
AB0096-C,cluster_2
AB0097-Cx,cluster_2
AB0098-Cx,cluster_2
AB0099-Cx,cluster_2
AB0100-C,cluster_2
AB0101-C,cluster_2
AB0103-C,cluster_2
AB0104-Cx,cluster_2
AB0109-C,cluster_2
AB0110-C,cluster_2
AB0111-C,cluster_2
AB0112-C,cluster_2
AB0113-C,cluster_2
AB0114-C,cluster_2
AB0115-C,cluster_2
AB0116-C,cluster_2
AB0117-C,cluster_2
AB0118-C,cluster_2
AB0119-C,cluster_2
AB0121-C,cluster_2
AB0122-C,cluster_2
AB0123-C,cluster_2
AB0124-C,cluster_2
AB0126-Cx,cluster_2
AB0127-C,cluster_2
AB0128-C,cluster_2
AB0129-C,cluster_2
AB0130-Cx,cluster_2
AB0131-Cx,cluster_2
AB0132-C,cluster_2
AB0133-C,cluster_2
AB0134-C,cluster_2
AB0135-C,cluster_2
AB0136-Cx,cluster_2
AB0137-Cx,cluster_2
AB0138-Cx,cluster_2
AB0139-C,cluster_2
AB0140-C,cluster_2
AB0142-C,cluster_2
AB0143-Cx,cluster_2
AB0144-C,cluster_2
AB0145-C,cluster_2
AB0146-Cx,cluster_2
AB0147-C,cluster_2
AB0148-Cx,cluster_2
AB0150-Cx,cluster_2
AB0151-Cx,cluster_2
AB0153-C,cluster_2
AB0155-Cx,cluster_2
AB0157-Cx,cluster_2
AB0158-Cx,cluster_2
AB0159-C,cluster_2
AB0160-Cx,cluster_2
AB0161-C,cluster_2
AB0162-C,cluster_2
AB0164-C,cluster_2
AB0165-C,cluster_2
AB0166-C,cluster_2
AB0167-C,cluster_2
AB0169-C,cluster_2
AB0170-C,cluster_2
AB0171-Cx,cluster_2
AB0172-Cx,cluster_2
AB0173-C,cluster_2
AB0174-C,cluster_2
AB0175-Cx,cluster_2
AB0176-Cx,cluster_2
AB0177-C,cluster_2
AB0178-C,cluster_2
AB0179-Cx,cluster_2
AB0180-Cx,cluster_2
AB0181-C,cluster_2
AB0182-C,cluster_2
AB0183-C,cluster_2
AB0184-C,cluster_2
AB0185-Cx,cluster_2
AB0186-C,cluster_2
AB0187-C,cluster_2
AB0188-C,cluster_2
AB0189-C,cluster_2
AB0190-C,cluster_2
AB0191-Cx,cluster_2
AB0192-C,cluster_2
AB0193-C,cluster_2
AB0194-C,cluster_2
AB0196-C,cluster_2
AB0197-C,cluster_2
AB0198-C,cluster_2
AB0199-C,cluster_2
AB0200-C,cluster_2
AB0201-Cx,cluster_2
AB0202-Cx,cluster_2
AB0203-C,cluster_2
AB0204-C,cluster_2
AB0205-C,cluster_2
AB0206-C,cluster_2
AB0207-C,cluster_2
AB0208-C,cluster_2
AB0209-C,cluster_2
AB0210-C,cluster_2
AB0211-C,cluster_2
AB0212-C,cluster_2
